"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","138,432,751","±11,188","138,432,751","(X)"
"        Occupied housing units","122,354,219","±211,970","88.4%","±0.1"
"        Vacant housing units","16,078,532","±201,880","11.6%","±0.1"
"        Homeowner vacancy rate","1.4","±0.1","(X)","(X)"
"        Rental vacancy rate","5.8","±0.1","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","138,432,751","±11,188","138,432,751","(X)"
"        1-unit, detached","85,438,643","±119,771","61.7%","±0.1"
"        1-unit, attached","8,222,495","±26,772","5.9%","±0.1"
"        2 units","4,868,926","±28,766","3.5%","±0.1"
"        3 or 4 units","5,989,331","±24,360","4.3%","±0.1"
"        5 to 9 units","6,398,241","±30,404","4.6%","±0.1"
"        10 to 19 units","5,988,959","±32,331","4.3%","±0.1"
"        20 or more units","13,018,590","±24,245","9.4%","±0.1"
"        Mobile home","8,374,539","±43,460","6.0%","±0.1"
"        Boat, RV, van, etc.","133,027","±2,986","0.1%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","138,432,751","±11,188","138,432,751","(X)"
"        Built 2014 or later","4,826,244","±19,255","3.5%","±0.1"
"        Built 2010 to 2013","3,772,330","±15,861","2.7%","±0.1"
"        Built 2000 to 2009","18,872,283","±35,583","13.6%","±0.1"
"        Built 1990 to 1999","19,229,676","±38,507","13.9%","±0.1"
"        Built 1980 to 1989","18,484,475","±32,031","13.4%","±0.1"
"        Built 1970 to 1979","20,811,073","±32,869","15.0%","±0.1"
"        Built 1960 to 1969","14,506,264","±25,771","10.5%","±0.1"
"        Built 1950 to 1959","14,087,506","±25,744","10.2%","±0.1"
"        Built 1940 to 1949","6,658,408","±20,428","4.8%","±0.1"
"        Built 1939 or earlier","17,184,492","±31,427","12.4%","±0.1"
"ROOMS","","","",""
"    Total housing units","138,432,751","±11,188","138,432,751","(X)"
"        1 room","3,250,217","±19,409","2.3%","±0.1"
"        2 rooms","3,910,325","±18,892","2.8%","±0.1"
"        3 rooms","12,459,781","±43,283","9.0%","±0.1"
"        4 rooms","22,231,547","±65,657","16.1%","±0.1"
"        5 rooms","26,672,922","±73,650","19.3%","±0.1"
"        6 rooms","24,582,222","±37,546","17.8%","±0.1"
"        7 rooms","16,793,623","±38,541","12.1%","±0.1"
"        8 rooms","12,195,373","±52,899","8.8%","±0.1"
"        9 rooms or more","16,336,741","±101,423","11.8%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","138,432,751","±11,188","138,432,751","(X)"
"        No bedroom","3,588,040","±17,173","2.6%","±0.1"
"        1 bedroom","14,957,832","±32,186","10.8%","±0.1"
"        2 bedrooms","35,542,796","±55,069","25.7%","±0.1"
"        3 bedrooms","54,448,649","±63,583","39.3%","±0.1"
"        4 bedrooms","23,528,958","±53,254","17.0%","±0.1"
"        5 or more bedrooms","6,366,476","±17,770","4.6%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","122,354,219","±211,970","122,354,219","(X)"
