"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error"
"Workers 16 years and over","153,665,654","±161,649","81,222,691","±78,969","72,442,963","±90,648"
"    MEANS OF TRANSPORTATION TO WORK","","","","","",""
"        Car, truck, or van","83.8%","±0.1","84.2%","±0.1","83.3%","±0.1"
"            Drove alone","74.9%","±0.1","75.4%","±0.1","74.3%","±0.1"
"            Carpooled","8.9%","±0.1","8.7%","±0.1","9.0%","±0.1"
"                In 2-person carpool","6.7%","±0.1","6.5%","±0.1","6.8%","±0.1"
"                In 3-person carpool","1.3%","±0.1","1.2%","±0.1","1.3%","±0.1"
"                In 4-or-more person carpool","0.9%","±0.1","1.0%","±0.1","0.8%","±0.1"
"            Workers per car, truck, or van","1.06","±0.01","1.06","±0.01","1.06","±0.01"
"        Public transportation (excluding taxicab)","4.6%","±0.1","4.4%","±0.1","4.8%","±0.1"
"        Walked","2.6%","±0.1","2.6%","±0.1","2.5%","±0.1"
"        Bicycle","0.5%","±0.1","0.7%","±0.1","0.3%","±0.1"
"        Taxicab, motorcycle, or other means","1.3%","±0.1","1.5%","±0.1","1.1%","±0.1"
"        Worked from home","7.3%","±0.1","6.7%","±0.1","7.9%","±0.1"
"    PLACE OF WORK","","","","","",""
"        Worked in state of residence","96.4%","±0.1","95.8%","±0.1","97.1%","±0.1"
"            Worked in county of residence","72.8%","±0.1","70.5%","±0.1","75.5%","±0.1"
"            Worked outside county of residence","23.6%","±0.1","25.3%","±0.1","21.6%","±0.1"
"        Worked outside state of residence","3.6%","±0.1","4.2%","±0.1","2.9%","±0.1"
"        Living in a place","76.1%","±0.1","75.7%","±0.1","76.5%","±0.1"
"            Worked in place of residence","32.4%","±0.1","30.6%","±0.1","34.4%","±0.1"
"            Worked outside place of residence","43.7%","±0.1","45.1%","±0.1","42.1%","±0.1"
"        Not living in a place","23.9%","±0.1","24.3%","±0.1","23.5%","±0.1"
"        Living in 12 selected states","24.5%","±0.1","24.0%","±0.1","24.9%","±0.1"
"            Worked in minor civil division of residence","7.8%","±0.1","7.3%","±0.1","8.5%","±0.1"
"            Worked outside minor civil division of residence","16.6%","±0.1","16.7%","±0.1","16.5%","±0.1"
"        Not living in 12 selected states","75.5%","±0.1","76.0%","±0.1","75.1%","±0.1"
"Workers 16 years and over who did not work from home","142,512,559","±183,654","75,760,870","±97,612","66,751,689","±92,868"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","",""
"        12:00 a.m. to 4:59 a.m.","5.0%","±0.1","6.6%","±0.1","3.2%","±0.1"
"        5:00 a.m. to 5:29 a.m.","4.0%","±0.1","5.3%","±0.1","2.4%","±0.1"
"        5:30 a.m. to 5:59 a.m.","4.9%","±0.1","6.1%","±0.1","3.6%","±0.1"
"        6:00 a.m. to 6:29 a.m.","8.9%","±0.1","10.5%","±0.1","7.1%","±0.1"
"        6:30 a.m. to 6:59 a.m.","9.7%","±0.1","10.0%","±0.1","9.4%","±0.1"
"        7:00 a.m. to 7:29 a.m.","14.6%","±0.1","13.8%","±0.1","15.5%","±0.1"
"        7:30 a.m. to 7:59 a.m.","12.2%","±0.1","10.4%","±0.1","14.3%","±0.1"
"        8:00 a.m. to 8:29 a.m.","11.1%","±0.1","10.0%","±0.1","12.4%","±0.1"
"        8:30 a.m. to 8:59 a.m.","5.5%","±0.1","4.5%","±0.1","6.5%","±0.1"
"        9:00 a.m. to 11:59 p.m.","24.1%","±0.1","22.8%","±0.1","25.5%","±0.1"
"    TRAVEL TIME TO WORK","","","","","",""
"        Less than 10 minutes","12.3%","±0.1","11.4%","±0.1","13.3%","±0.1"
"        10 to 14 minutes","13.2%","±0.1","12.3%","±0.1","14.2%","±0.1"
"        15 to 19 minutes","15.2%","±0.1","14.5%","±0.1","15.9%","±0.1"
"        20 to 24 minutes","14.3%","±0.1","14.0%","±0.1","14.6%","±0.1"
"        25 to 29 minutes","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1"
"        30 to 34 minutes","13.7%","±0.1","14.2%","±0.1","13.2%","±0.1"
"        35 to 44 minutes","7.1%","±0.1","7.4%","±0.1","6.8%","±0.1"
"        45 to 59 minutes","8.3%","±0.1","8.9%","±0.1","7.7%","±0.1"
"        60 or more minutes","9.3%","±0.1","10.7%","±0.1","7.6%","±0.1"
"        Mean travel time to work (minutes)","26.9","±0.1","28.4","±0.1","25.2","±0.1"
"VEHICLES AVAILABLE","","","","","",""
"    Workers 16 years and over in households","152,193,868","±164,100","80,414,320","±81,254","71,779,548","±91,201"
"        No vehicle available","4.2%","±0.1","4.1%","±0.1","4.4%","±0.1"
"        1 vehicle available","20.1%","±0.1","18.0%","±0.1","22.5%","±0.1"
"        2 vehicles available","40.5%","±0.1","41.4%","±0.1","39.4%","±0.1"
"        3 or more vehicles available","35.2%","±0.1","36.5%","±0.1","33.8%","±0.1"
"PERCENT ALLOCATED","","","","","",""
"    Means of transportation to work","11.5%","(X)","(X)","(X)","(X)","(X)"
"    Private vehicle occupancy","13.0%","(X)","(X)","(X)","(X)","(X)"
"    Place of work","15.5%","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","22.8%","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","16.7%","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)"
